Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
4,93.42320532,103853.2206,248708.4892,2953.248771,89.88756208,4,473224763.9,1,9207772.186,6663.816572,81.7424612,1366
4,590.4689416,190223.0649,166104.1642,5305.174042,84.40334295,4,167069721.6,2,1685101.134,30656.04982,78.13904175,1743
1,625.9511425,266023.4824,424114.6308,2620.192622,60.49824887,2,84636100.09,2,5111812.899,1749.613759,8.461295633,363
1,779.9987283,487039.5296,308337.7316,1925.250307,86.89786068,3,396768982.2,2,4805902.371,43233.23782,8.402441206,2821
3,242.1068369,482815.0856,360437.7705,3948.945383,70.94935132,2,35744128.28,1,16686014.48,14858.66276,28.82286745,2583
1,596.1746308,292384.463,415449.6225,9767.234396,50.90190642,3,449150517.7,2,11315378.7,16089.62608,9.038486886,309
5,912.4606257,166865.9068,268570.0281,9177.042493,54.34546335,1,485953840,1,8453916.11,9140.340246,20.11218696,3483
1,782.9344663,277874.892,228390.8408,8894.275957,72.32395537,2,237006441.2,1,6831257.817,7054.752767,45.16850462,4155
1,842.2478217,456305.5836,364032.5316,1463.242396,73.44790678,2,107777969.1,1,15522816.74,40329.04778,83.56356726,4617
2,778.6692955,401363.1727,216170.7123,1792.133939,90.59240224,3,472545866.3,2,14086169.3,20564.87454,66.21395664,727
1,331.4526224,251035.426,263867.8013,9776.231445,75.27720503,1,440466517,1,54235.26984,23050.9743,16.1741087,4327
5,923.3716098,325001.5413,433532.1176,5764.408399,64.88731091,1,373905846.3,2,10531180.73,22991.21367,35.48088444,1916
4,269.124322,176638.6369,412244.5355,2648.026535,50.58378728,1,117202214.9,1,3690420.567,10445.96593,76.94968569,2935
4,713.3930864,213284.3216,387135.1887,5547.755621,91.09545611,2,170269004.5,3,18042969.11,35928.70926,59.1699292,2252
3,292.2830709,155465.2392,16932.69006,2457.244777,65.55724059,2,313970944,3,16328048.97,11944.16501,13.79546248,3440
6,90.86643809,206272.868,79092.992,384.3262147,66.13059773,3,204997524.9,1,1332253.107,45611.39552,74.88334649,1552
4,889.1545544,13066.88338,311190.4831,4.090269707,80.33276893,2,9053773.942,2,465266.8627,38668.76896,16.84662851,4783
7,878.6852088,124626.882,427010.5295,5098.33819,71.1276647,1,156262222.9,3,10670647.4,30414.55311,70.18859809,1406
5,468.1550005,10076.62608,134075.9411,9136.15018,53.13851541,2,271498650.5,1,164183.9265,3294.346528,77.04082394,1116
1,973.7404781,138728.3201,406471.8827,9094.09479,69.68229888,2,380319250,1,7173750.18,14257.55934,60.24057395,4210
7,234.583508,116290.1567,384757.699,1055.466696,53.86057257,1,191894116.7,1,17079653,6812.438376,63.69531616,4251
5,697.6758745,220226.1312,133636.8911,2337.044258,95.52086549,2,318918809.7,1,13217332.87,32872.54745,31.07812473,3384
6,369.7757616,360589.49,59044.50949,1589.1917,83.50803272,2,263973164.7,3,1912490.154,47863.73097,24.26251446,3750
6,121.1255985,150710.477,277797.8654,3187.204882,67.33803418,2,263801897.1,2,17540808.2,36810.38206,30.2352936,223
2,737.37571,213138.2846,323636.7711,8991.182369,66.54514581,2,228919557.6,3,19130980.73,32390.44691,77.13027242,756
4,725.2334523,445510.7437,316116.7354,2412.684083,99.22139576,2,148878256.7,2,1991603.228,10811.14056,93.74352008,2955
5,98.44339681,170966.6751,444229.371,2541.809176,59.76521449,1,454046260.7,2,12151045.84,5924.75231,91.57976229,2218
